station_eu_code;id_regione;id_provincia;id_comune;station_code;Regione;Provincia;Comune;nome_stazione;tipo_zona;tipo_stazione;TIPO;Lon;Lat;yy;n;sup25;sup15;media_yy;minimo;perc5;perc25;perc50;perc75;perc95;perc99.2;massimo;copertura;superamenti_ma;superamenti_ma10;superamenti_ma5;range_y;mappa_y;superamenti_d;superamenti_d15;range_d;range_d15;mappa_d;mappa_d15
IT2161A;13.0;66.0;13066028.0;1306604.0;Abruzzo;L'Aquila;Castel di Sangro;Castel di Sangro;SUBURBANA;FONDO;SF;14.10361;41.77944;2022;297;2;40;10.0;3.0;4.0;7.0;10.0;13.0;20.0;23.0;27.0;0;0.0;0.0;1.0;"(5;10]";0;0;1;"(-Inf;3]";"(18; Inf]";0;0
IT1977A;13.0;68.0;13068024.0;1306810.0;Abruzzo;Pescara;Montesilvano;MONTESILVANO;URBANA;TRAFFICO;UT;14.14833;42.5175;2015;360;76;159;17.0;3.0;6.0;10.0;14.0;23.0;38.0;46.0;52.0;1;0.0;1.0;1.0;"(15;20]";4;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1977A;13.0;68.0;13068024.0;1306810.0;Abruzzo;Pescara;Montesilvano;MONTESILVANO;URBANA;TRAFFICO;UT;14.14833;42.5175;2016;321;54;120;16.0;5.0;6.0;9.0;13.0;20.0;38.0;47.0;56.0;1;0.0;1.0;1.0;"(15;20]";4;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1977A;13.0;68.0;13068024.0;1306810.0;Abruzzo;Pescara;Montesilvano;MONTESILVANO;URBANA;TRAFFICO;UT;14.14833;42.5175;2017;353;41;120;15.0;3.0;6.0;9.0;13.0;18.0;32.0;39.0;46.0;1;0.0;1.0;1.0;"(10;15]";3;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1977A;13.0;68.0;13068024.0;1306810.0;Abruzzo;Pescara;Montesilvano;MONTESILVANO;URBANA;TRAFFICO;UT;14.14833;42.5175;2018;352;52;153;17.0;4.0;7.0;11.0;14.0;20.0;35.0;42.0;45.0;1;0.0;1.0;1.0;"(15;20]";4;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1977A;13.0;68.0;13068024.0;1306810.0;Abruzzo;Pescara;Montesilvano;MONTESILVANO;URBANA;TRAFFICO;UT;14.14833;42.5175;2019;348;25;116;14.0;4.0;6.0;9.0;12.0;17.0;29.0;45.0;57.0;1;0.0;1.0;1.0;"(10;15]";3;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1977A;13.0;68.0;13068024.0;1306810.0;Abruzzo;Pescara;Montesilvano;MONTESILVANO;URBANA;TRAFFICO;UT;14.14833;42.5175;2020;364;40;119;14.0;1.0;5.0;7.0;11.0;18.0;32.0;41.0;47.0;1;0.0;1.0;1.0;"(10;15]";3;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1977A;13.0;68.0;13068024.0;1306810.0;Abruzzo;Pescara;Montesilvano;MONTESILVANO;URBANA;TRAFFICO;UT;14.14833;42.5175;2021;356;23;92;13.0;4.0;5.0;8.0;11.0;15.0;26.0;41.0;44.0;1;0.0;1.0;1.0;"(10;15]";3;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1977A;13.0;68.0;13068024.0;1306810.0;Abruzzo;Pescara;Montesilvano;MONTESILVANO;URBANA;TRAFFICO;UT;14.14833;42.5175;2022;316;22;110;14.0;3.0;6.0;9.0;12.0;18.0;26.0;35.0;40.0;1;0.0;1.0;1.0;"(10;15]";3;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1977A;13.0;68.0;13068024.0;1306810.0;Abruzzo;Pescara;Montesilvano;MONTESILVANO;URBANA;TRAFFICO;UT;14.14833;42.5175;2014;352;48;122;15.0;4.0;6.0;9.0;12.0;19.0;36.0;46.0;53.0;1;0.0;1.0;1.0;"(10;15]";3;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1264A;13.0;68.0;13068028.0;1306805.0;Abruzzo;Pescara;Pescara;PE - VIA FIRENZE;URBANA;TRAFFICO;UT;14.21306;42.46639;2013;360;65;133;17.0;3.0;5.0;9.0;13.0;20.0;47.0;58.0;80.0;1;0.0;1.0;1.0;"(15;20]";4;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1264A;13.0;68.0;13068028.0;1306805.0;Abruzzo;Pescara;Pescara;PE - VIA FIRENZE;URBANA;TRAFFICO;UT;14.21306;42.46639;2015;352;94;175;20.0;3.0;6.0;10.0;15.0;27.0;45.0;54.0;57.0;1;0.0;1.0;1.0;"(15;20]";4;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1264A;13.0;68.0;13068028.0;1306805.0;Abruzzo;Pescara;Pescara;PE - VIA FIRENZE;URBANA;TRAFFICO;UT;14.21306;42.46639;2016;227;53;109;18.0;4.0;6.0;10.0;15.0;24.0;42.0;51.0;53.0;0;0.0;1.0;1.0;"(15;20]";0;1;1;"(18; Inf]";"(18; Inf]";0;0
IT1264A;13.0;68.0;13068028.0;1306805.0;Abruzzo;Pescara;Pescara;PE - VIA FIRENZE;URBANA;TRAFFICO;UT;14.21306;42.46639;2017;355;44;119;15.0;2.0;5.0;8.0;12.0;19.0;35.0;41.0;49.0;1;0.0;1.0;1.0;"(10;15]";3;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1264A;13.0;68.0;13068028.0;1306805.0;Abruzzo;Pescara;Pescara;PE - VIA FIRENZE;URBANA;TRAFFICO;UT;14.21306;42.46639;2018;353;49;139;16.0;5.0;6.0;10.0;14.0;19.0;36.0;47.0;50.0;1;0.0;1.0;1.0;"(15;20]";4;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1264A;13.0;68.0;13068028.0;1306805.0;Abruzzo;Pescara;Pescara;PE - VIA FIRENZE;URBANA;TRAFFICO;UT;14.21306;42.46639;2019;349;28;118;14.0;3.0;5.0;9.0;12.0;17.0;29.0;43.0;55.0;1;0.0;1.0;1.0;"(10;15]";3;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1264A;13.0;68.0;13068028.0;1306805.0;Abruzzo;Pescara;Pescara;PE - VIA FIRENZE;URBANA;TRAFFICO;UT;14.21306;42.46639;2020;364;60;135;15.0;4.0;5.0;8.0;11.0;20.0;36.0;45.0;55.0;1;0.0;1.0;1.0;"(10;15]";3;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1264A;13.0;68.0;13068028.0;1306805.0;Abruzzo;Pescara;Pescara;PE - VIA FIRENZE;URBANA;TRAFFICO;UT;14.21306;42.46639;2021;363;33;110;13.0;3.0;5.0;8.0;11.0;16.0;31.0;40.0;50.0;1;0.0;1.0;1.0;"(10;15]";3;1;1;"(18; Inf]";"(18; Inf]";3;3
